sub	sess	task	TR	dropFr	topDir	dataFolder	confoundsFolder	FDtype	runs	residuals
INET019	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET019	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET019	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET019	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET034	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET034	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET034	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET034	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET040	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET040	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET040	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET040	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
