train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC01,MSC02,glass,0.5650000000000001,0.9,,0.5353801169590643,,0.9
MSC01,MSC02,semantic,0.85,0.95,0.9666666666666667,0.7923733129615483,,0.95
MSC01,MSC02,motor,0.9199999999999999,1.0,0.902077922077922,0.9492307692307692,1.0,1.0
MSC01,MSC02,mem,0.9,1.0,0.8356643356643357,1.0,1.0,1.0
MSC01,MSC03,glass,0.505,0.9,,0.5026315789473684,,0.9
MSC01,MSC03,semantic,0.745,0.95,,0.6746067657832364,,0.95
MSC01,MSC03,motor,0.9249999999999999,1.0,1.0,0.8723776223776224,1.0,1.0
MSC01,MSC03,mem,0.7555555555555555,1.0,0.64996336996337,1.0,1.0,1.0
MSC01,MSC04,glass,0.625,0.9,,0.5751977984176126,,0.9
MSC01,MSC04,semantic,0.665,0.95,1.0,0.6020013268465281,,0.95
MSC01,MSC04,motor,0.99,1.0,1.0,0.9818181818181818,1.0,1.0
MSC01,MSC04,mem,0.895,1.0,0.8318181818181819,0.9888888888888889,1.0,1.0
MSC01,MSC05,glass,0.545,0.9,,0.5236842105263158,,0.9
MSC01,MSC05,semantic,0.575,0.95,,0.5412280701754386,,0.95
MSC01,MSC05,motor,0.875,1.0,1.0,0.8050116550116551,1.0,1.0
MSC01,MSC05,mem,0.965,1.0,1.0,0.9363636363636363,1.0,1.0
MSC01,MSC06,glass,0.5263157894736842,0.9,,0.5263157894736842,,0.9
MSC01,MSC06,semantic,0.55,0.95,1.0,0.5263157894736842,,0.95
MSC01,MSC06,motor,0.7421052631578947,1.0,,0.6779063042220936,1.0,1.0
MSC01,MSC06,mem,0.955,1.0,1.0,0.9181818181818182,1.0,1.0
MSC01,MSC07,glass,0.955,0.9,1.0,0.925974025974026,,0.9
MSC01,MSC07,semantic,1.0,0.95,1.0,1.0,,0.95
MSC01,MSC07,motor,0.9736842105263157,1.0,0.95,1.0,1.0,1.0
MSC01,MSC07,mem,0.745,1.0,0.6666666666666666,1.0,1.0,1.0
MSC01,MSC10,glass,0.575,0.9,,0.5415720674234606,,0.9
MSC01,MSC10,semantic,0.625,0.95,,0.5784246154602192,,0.95
MSC01,MSC10,motor,0.975,1.0,0.990909090909091,0.9666666666666667,1.0,1.0
MSC01,MSC10,mem,0.94,1.0,0.9006060606060606,0.99,1.0,1.0
MSC02,MSC01,glass,0.5,0.8,,0.5,,0.8
MSC02,MSC01,semantic,0.51,0.95,,0.5052631578947369,,0.95
MSC02,MSC01,motor,0.5,0.95,,0.5,,0.95
MSC02,MSC01,mem,0.96,1.0,0.9314685314685315,1.0,1.0,1.0
MSC02,MSC03,glass,0.5,0.8,,0.5,,0.8
MSC02,MSC03,semantic,0.505,0.95,,0.5026315789473684,,0.95
MSC02,MSC03,motor,0.71,0.95,,0.6379901960784313,,0.95
MSC02,MSC03,mem,0.7333333333333333,1.0,0.6342457542457542,1.0,1.0,1.0
MSC02,MSC04,glass,0.505,0.8,,0.5026315789473684,,0.8
MSC02,MSC04,semantic,0.5,0.95,,0.5,,0.95
MSC02,MSC04,motor,0.57,0.95,,0.5385964912280702,,0.95
MSC02,MSC04,mem,0.985,1.0,0.9727272727272727,1.0,1.0,1.0
MSC02,MSC05,glass,0.51,0.8,,0.5052631578947369,,0.8
MSC02,MSC05,semantic,0.5,0.95,,0.5,,0.95
MSC02,MSC05,motor,0.56,0.95,,0.5330925352597179,,0.95
MSC02,MSC05,mem,0.95,1.0,0.9163170163170163,1.0,1.0,1.0
MSC02,MSC06,glass,0.5263157894736842,0.8,,0.5263157894736842,,0.8
MSC02,MSC06,semantic,0.5650000000000001,0.95,1.0,0.5350877192982456,,0.95
MSC02,MSC06,motor,0.5789473684210527,0.95,1.0,0.5555555555555556,,0.95
MSC02,MSC06,mem,0.96,1.0,0.990909090909091,0.9363636363636363,1.0,1.0
MSC02,MSC07,glass,0.62,0.8,,0.5801986584107327,,0.8
MSC02,MSC07,semantic,0.675,0.95,0.99,0.6198202614379085,,0.95
MSC02,MSC07,motor,0.5263157894736842,0.95,,0.5263157894736842,,0.95
MSC02,MSC07,mem,0.88,1.0,0.8335497835497836,,1.0,1.0
MSC02,MSC10,glass,0.5,0.8,,0.5,,0.8
MSC02,MSC10,semantic,0.5,0.95,,0.5,,0.95
MSC02,MSC10,motor,0.505,0.95,,0.5026315789473684,,0.95
MSC02,MSC10,mem,0.975,1.0,0.9818181818181818,0.9727272727272727,1.0,1.0
MSC03,MSC01,glass,0.5,0.85,,0.5,,0.85
MSC03,MSC01,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC01,motor,0.685,0.95,,0.6247810797733399,,0.95
MSC03,MSC01,mem,0.65625,0.9375,,0.6135042932643552,,0.9375
MSC03,MSC02,glass,0.5,0.85,,0.5,,0.85
MSC03,MSC02,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC02,motor,0.975,0.95,1.0,0.9545454545454546,,0.95
MSC03,MSC02,mem,0.875,0.9375,1.0,0.8202826585179526,,0.9375
MSC03,MSC04,glass,0.5,0.85,,0.5,,0.85
MSC03,MSC04,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC04,motor,0.945,0.95,1.0,0.9015151515151515,,0.95
