subs,Analysis,acc
INET019,SS,0.984375
INET068,SS,0.953125
INET044,SS,0.984375
INET063,SS,0.9677083333333334
INET050,SS,1.0
INET057,SS,0.9666666666666667
INET051,SS,0.9642857142857143
INET018,SS,0.9821428571428572
INET062,SS,0.9833333333333334
INET045,SS,1.0
INET065,SS,1.0
INET041,SS,0.9833333333333334
INET067,SS,0.9833333333333334
INET047,SS,0.9833333333333334
INET060,SS,0.984375
INET058,SS,0.9666666666666667
INET016,SS,0.984375
INET034,SS,0.984375
INET006,SS,0.9333333333333333
INET040,SS,0.9833333333333334
INET003,SS,0.9833333333333334
INET019,OS,0.7716966379984362
INET068,OS,0.626171875
INET044,OS,0.54453125
INET063,OS,0.80078125
INET050,OS,0.582552693208431
INET057,OS,0.5017550702028081
INET051,OS,0.7564003103180761
INET018,OS,0.6649765990639626
INET062,OS,0.6899375975039002
INET045,OS,0.78984375
INET065,OS,0.4642857142857143
INET041,OS,0.6072819314641744
INET067,OS,0.607839313572543
INET047,OS,0.7624902419984387
INET060,OS,0.5916536661466458
INET058,OS,0.7283372365339579
INET016,OS,0.78984375
INET034,OS,0.5378315132605305
INET006,OS,0.4704
INET040,OS,0.46623731459797035
INET003,OS,0.5463336019339242
