subs,Analysis,acc
INET019,SS,0.9052083333333334
INET068,SS,0.9375
INET044,SS,0.9677083333333334
INET063,SS,0.9833333333333334
INET050,SS,0.9833333333333334
INET057,SS,0.8833333333333333
INET051,SS,0.8962797619047619
INET018,SS,0.9527310924369747
INET062,SS,0.9333333333333333
INET045,SS,1.0
INET065,SS,0.9833333333333334
INET041,SS,0.9666666666666667
INET067,SS,0.9333333333333333
INET047,SS,0.9333333333333333
INET060,SS,0.9510416666666667
INET058,SS,0.9333333333333333
INET016,SS,1.0
INET034,SS,0.9331845238095238
INET006,SS,0.9354166666666667
INET040,SS,0.95
INET003,SS,0.9666666666666667
INET019,OS,0.6155764966740577
INET068,OS,0.6549334811529933
INET044,OS,0.6136363636363636
INET063,OS,0.7983960176991151
INET050,OS,0.45658185840707965
INET057,OS,0.626940133037694
INET051,OS,0.7349562363238512
INET018,OS,0.7193030973451328
INET062,OS,0.7286585365853658
INET045,OS,0.7597006651884701
INET065,OS,0.5013858093126385
INET041,OS,0.7749445676274944
INET067,OS,0.7422394678492239
INET047,OS,0.6535476718403548
INET060,OS,0.6643569844789357
INET058,OS,0.748059866962306
INET016,OS,0.799889135254989
INET034,OS,0.635809312638581
INET006,OS,0.5684589800443459
INET040,OS,0.6031042128603104
INET003,OS,0.608370288248337
