train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC01,MSC02,pres1,0.755,1.0,1.0,0.680319577223602,1.0,1.0
MSC01,MSC02,pres2,0.78,0.75,1.0,0.7021214896214897,,0.75
MSC01,MSC02,pres3,0.54,0.9,,0.5216374269005848,,0.9
MSC01,MSC03,pres1,0.85,1.0,1.0,0.7893772893772895,1.0,1.0
MSC01,MSC03,pres2,0.7222222222222222,0.75,,0.6747405372405373,,0.75
MSC01,MSC03,pres3,0.5888888888888889,0.9,,0.5759803921568628,,0.9
MSC01,MSC04,pres1,0.685,1.0,1.0,0.6169351073762839,1.0,1.0
MSC01,MSC04,pres2,0.735,0.75,1.0,0.6563375350140056,,0.75
MSC01,MSC04,pres3,0.6,0.9,,0.5582688338493292,,0.9
MSC01,MSC05,pres1,0.54,1.0,,0.5213450292397661,1.0,1.0
MSC01,MSC05,pres2,0.62,0.75,1.0,0.5689714482284142,,0.75
MSC01,MSC05,pres3,0.56,0.9,,0.5327485380116959,,0.9
MSC01,MSC06,pres1,0.545,1.0,,0.5239766081871344,1.0,1.0
MSC01,MSC06,pres2,0.595,0.75,,0.5539559683522532,,0.75
MSC01,MSC06,pres3,0.5,0.9,,0.5,,0.9
MSC01,MSC07,pres1,0.77,1.0,1.0,0.6914594177752073,1.0,1.0
MSC01,MSC07,pres2,0.865,0.75,1.0,0.8106962481962482,,0.75
MSC01,MSC07,pres3,0.585,0.9,1.0,0.5478801169590644,,0.9
MSC01,MSC10,pres1,0.71,1.0,1.0,0.6400560224089636,1.0,1.0
MSC01,MSC10,pres2,0.645,0.75,1.0,0.5865368077055384,,0.75
MSC01,MSC10,pres3,0.645,0.9,1.0,0.5875,,0.9
MSC02,MSC01,pres1,0.8300000000000001,0.95,1.0,0.7556277056277056,,0.95
MSC02,MSC01,pres2,0.5,0.75,,0.5,,0.75
MSC02,MSC01,pres3,0.64,0.75,1.0,0.5833505331957345,,0.75
MSC02,MSC03,pres1,0.9277777777777777,0.95,1.0,0.8863636363636364,,0.95
MSC02,MSC03,pres2,0.6722222222222223,0.75,1.0,0.6311274509803921,,0.75
MSC02,MSC03,pres3,0.6666666666666666,0.75,1.0,0.6275560224089636,,0.75
MSC02,MSC04,pres1,0.78,0.95,1.0,0.7017857142857142,,0.95
MSC02,MSC04,pres2,0.61,0.75,1.0,0.5650369797041623,,0.75
MSC02,MSC04,pres3,0.59,0.75,1.0,0.5503955968352253,,0.75
MSC02,MSC05,pres1,0.765,0.95,1.0,0.6822802197802198,,0.95
MSC02,MSC05,pres2,0.62,0.75,1.0,0.571375128998968,,0.75
MSC02,MSC05,pres3,0.78,0.75,1.0,0.6989468864468864,,0.75
MSC02,MSC06,pres1,0.675,0.95,1.0,0.6084150326797386,,0.95
