train_task,test_task,train_sub,test_sub,diff_sub,same_sub
pres1,pres2,MSC01,MSC02,0.55,0.65
pres1,pres3,MSC01,MSC02,0.625,0.95
pres2,pres1,MSC01,MSC02,0.55,0.65
pres2,pres3,MSC01,MSC02,0.5,0.65
pres3,pres1,MSC01,MSC02,0.625,0.95
pres3,pres2,MSC01,MSC02,0.5,0.65
pres1,pres2,MSC01,MSC03,0.63125,0.65
pres1,pres3,MSC01,MSC03,0.63125,0.95
pres2,pres1,MSC01,MSC03,0.63125,0.65
pres2,pres3,MSC01,MSC03,0.625,0.65
pres3,pres1,MSC01,MSC03,0.63125,0.95
pres3,pres2,MSC01,MSC03,0.625,0.65
pres1,pres2,MSC01,MSC04,0.585,0.65
pres1,pres3,MSC01,MSC04,0.625,0.95
pres2,pres1,MSC01,MSC04,0.585,0.65
pres2,pres3,MSC01,MSC04,0.515,0.65
pres3,pres1,MSC01,MSC04,0.625,0.95
pres3,pres2,MSC01,MSC04,0.515,0.65
pres1,pres2,MSC01,MSC05,0.485,0.65
pres1,pres3,MSC01,MSC05,0.62,0.95
pres2,pres1,MSC01,MSC05,0.485,0.65
pres2,pres3,MSC01,MSC05,0.645,0.65
pres3,pres1,MSC01,MSC05,0.62,0.95
pres3,pres2,MSC01,MSC05,0.645,0.65
pres1,pres2,MSC01,MSC06,0.575,0.65
pres1,pres3,MSC01,MSC06,0.655,0.95
pres2,pres1,MSC01,MSC06,0.575,0.65
pres2,pres3,MSC01,MSC06,0.63,0.65
pres3,pres1,MSC01,MSC06,0.655,0.95
pres3,pres2,MSC01,MSC06,0.63,0.65
pres1,pres2,MSC01,MSC07,0.595,0.65
pres1,pres3,MSC01,MSC07,0.7,0.95
pres2,pres1,MSC01,MSC07,0.595,0.65
pres2,pres3,MSC01,MSC07,0.435,0.65
pres3,pres1,MSC01,MSC07,0.7,0.95
pres3,pres2,MSC01,MSC07,0.435,0.65
pres1,pres2,MSC01,MSC10,0.485,0.65
pres1,pres3,MSC01,MSC10,0.73,0.95
pres2,pres1,MSC01,MSC10,0.485,0.65
pres2,pres3,MSC01,MSC10,0.485,0.65
pres3,pres1,MSC01,MSC10,0.73,0.95
pres3,pres2,MSC01,MSC10,0.485,0.65
pres1,pres2,MSC02,MSC01,0.5,0.85
pres1,pres3,MSC02,MSC01,0.615,1.0
pres2,pres1,MSC02,MSC01,0.5,0.85
pres2,pres3,MSC02,MSC01,0.505,0.7
pres3,pres1,MSC02,MSC01,0.615,1.0
pres3,pres2,MSC02,MSC01,0.505,0.7
pres1,pres2,MSC02,MSC03,0.60625,0.85
pres1,pres3,MSC02,MSC03,0.63125,1.0
pres2,pres1,MSC02,MSC03,0.60625,0.85
pres2,pres3,MSC02,MSC03,0.49375,0.7
pres3,pres1,MSC02,MSC03,0.63125,1.0
pres3,pres2,MSC02,MSC03,0.49375,0.7
pres1,pres2,MSC02,MSC04,0.505,0.85
pres1,pres3,MSC02,MSC04,0.565,1.0
pres2,pres1,MSC02,MSC04,0.505,0.85
pres2,pres3,MSC02,MSC04,0.635,0.7
pres3,pres1,MSC02,MSC04,0.565,1.0
pres3,pres2,MSC02,MSC04,0.635,0.7
pres1,pres2,MSC02,MSC05,0.545,0.85
pres1,pres3,MSC02,MSC05,0.81,1.0
pres2,pres1,MSC02,MSC05,0.545,0.85
pres2,pres3,MSC02,MSC05,0.605,0.7
pres3,pres1,MSC02,MSC05,0.81,1.0
pres3,pres2,MSC02,MSC05,0.605,0.7
pres1,pres2,MSC02,MSC06,0.53,0.85
pres1,pres3,MSC02,MSC06,0.855,1.0
pres2,pres1,MSC02,MSC06,0.53,0.85
pres2,pres3,MSC02,MSC06,0.8049999999999999,0.7
pres3,pres1,MSC02,MSC06,0.855,1.0
pres3,pres2,MSC02,MSC06,0.8049999999999999,0.7
pres1,pres2,MSC02,MSC07,0.745,0.85
pres1,pres3,MSC02,MSC07,0.5700000000000001,1.0
pres2,pres1,MSC02,MSC07,0.745,0.85
pres2,pres3,MSC02,MSC07,0.495,0.7
pres3,pres1,MSC02,MSC07,0.5700000000000001,1.0
pres3,pres2,MSC02,MSC07,0.495,0.7
pres1,pres2,MSC02,MSC10,0.47500000000000003,0.85
pres1,pres3,MSC02,MSC10,0.63,1.0
pres2,pres1,MSC02,MSC10,0.47500000000000003,0.85
pres2,pres3,MSC02,MSC10,0.475,0.7
pres3,pres1,MSC02,MSC10,0.63,1.0
pres3,pres2,MSC02,MSC10,0.475,0.7
pres1,pres2,MSC03,MSC01,0.56875,0.6875
pres1,pres3,MSC03,MSC01,0.7625,0.8125
pres2,pres1,MSC03,MSC01,0.56875,0.6875
pres2,pres3,MSC03,MSC01,0.53125,0.625
pres3,pres1,MSC03,MSC01,0.7625,0.8125
pres3,pres2,MSC03,MSC01,0.53125,0.625
pres1,pres2,MSC03,MSC02,0.55,0.6875
pres1,pres3,MSC03,MSC02,0.70625,0.8125
pres2,pres1,MSC03,MSC02,0.55,0.6875
pres2,pres3,MSC03,MSC02,0.50625,0.625
pres3,pres1,MSC03,MSC02,0.70625,0.8125
pres3,pres2,MSC03,MSC02,0.50625,0.625
pres1,pres2,MSC03,MSC04,0.47500000000000003,0.6875
pres1,pres3,MSC03,MSC04,0.7375,0.8125
pres2,pres1,MSC03,MSC04,0.47500000000000003,0.6875
pres2,pres3,MSC03,MSC04,0.53125,0.625
pres3,pres1,MSC03,MSC04,0.7375,0.8125
pres3,pres2,MSC03,MSC04,0.53125,0.625
pres1,pres2,MSC03,MSC05,0.45,0.6875
pres1,pres3,MSC03,MSC05,0.54375,0.8125
pres2,pres1,MSC03,MSC05,0.45,0.6875
pres2,pres3,MSC03,MSC05,0.675,0.625
pres3,pres1,MSC03,MSC05,0.54375,0.8125
pres3,pres2,MSC03,MSC05,0.675,0.625
pres1,pres2,MSC03,MSC06,0.55625,0.6875
pres1,pres3,MSC03,MSC06,0.55,0.8125
pres2,pres1,MSC03,MSC06,0.55625,0.6875
pres2,pres3,MSC03,MSC06,0.51875,0.625
pres3,pres1,MSC03,MSC06,0.55,0.8125
pres3,pres2,MSC03,MSC06,0.51875,0.625
pres1,pres2,MSC03,MSC07,0.56875,0.6875
pres1,pres3,MSC03,MSC07,0.4625,0.8125
pres2,pres1,MSC03,MSC07,0.56875,0.6875
pres2,pres3,MSC03,MSC07,0.50625,0.625
pres3,pres1,MSC03,MSC07,0.4625,0.8125
pres3,pres2,MSC03,MSC07,0.50625,0.625
pres1,pres2,MSC03,MSC10,0.61875,0.6875
pres1,pres3,MSC03,MSC10,0.74375,0.8125
pres2,pres1,MSC03,MSC10,0.61875,0.6875
pres2,pres3,MSC03,MSC10,0.59375,0.625
pres3,pres1,MSC03,MSC10,0.74375,0.8125
pres3,pres2,MSC03,MSC10,0.59375,0.625
pres1,pres2,MSC04,MSC01,0.56,0.85
pres1,pres3,MSC04,MSC01,0.735,0.8
pres2,pres1,MSC04,MSC01,0.56,0.85
pres2,pres3,MSC04,MSC01,0.54,0.5
pres3,pres1,MSC04,MSC01,0.735,0.8
pres3,pres2,MSC04,MSC01,0.54,0.5
pres1,pres2,MSC04,MSC02,0.63,0.85
pres1,pres3,MSC04,MSC02,0.72,0.8
pres2,pres1,MSC04,MSC02,0.63,0.85
pres2,pres3,MSC04,MSC02,0.59,0.5
pres3,pres1,MSC04,MSC02,0.72,0.8
pres3,pres2,MSC04,MSC02,0.59,0.5
pres1,pres2,MSC04,MSC03,0.4875,0.85
pres1,pres3,MSC04,MSC03,0.70625,0.8
pres2,pres1,MSC04,MSC03,0.4875,0.85
pres2,pres3,MSC04,MSC03,0.5,0.5
pres3,pres1,MSC04,MSC03,0.70625,0.8
pres3,pres2,MSC04,MSC03,0.5,0.5
pres1,pres2,MSC04,MSC05,0.56,0.85
pres1,pres3,MSC04,MSC05,0.6950000000000001,0.8
pres2,pres1,MSC04,MSC05,0.56,0.85
pres2,pres3,MSC04,MSC05,0.5,0.5
pres3,pres1,MSC04,MSC05,0.6950000000000001,0.8
pres3,pres2,MSC04,MSC05,0.5,0.5
pres1,pres2,MSC04,MSC06,0.57,0.85
pres1,pres3,MSC04,MSC06,0.635,0.8
pres2,pres1,MSC04,MSC06,0.57,0.85
pres2,pres3,MSC04,MSC06,0.5,0.5
pres3,pres1,MSC04,MSC06,0.635,0.8
pres3,pres2,MSC04,MSC06,0.5,0.5
pres1,pres2,MSC04,MSC07,0.585,0.85
pres1,pres3,MSC04,MSC07,0.69,0.8
pres2,pres1,MSC04,MSC07,0.585,0.85
pres2,pres3,MSC04,MSC07,0.53,0.5
pres3,pres1,MSC04,MSC07,0.69,0.8
pres3,pres2,MSC04,MSC07,0.53,0.5
pres1,pres2,MSC04,MSC10,0.54,0.85
pres1,pres3,MSC04,MSC10,0.59,0.8
pres2,pres1,MSC04,MSC10,0.54,0.85
pres2,pres3,MSC04,MSC10,0.52,0.5
pres3,pres1,MSC04,MSC10,0.59,0.8
pres3,pres2,MSC04,MSC10,0.52,0.5
pres1,pres2,MSC05,MSC01,0.5,0.6
pres1,pres3,MSC05,MSC01,0.5,0.9
pres2,pres1,MSC05,MSC01,0.5,0.6
pres2,pres3,MSC05,MSC01,0.5,0.75
pres3,pres1,MSC05,MSC01,0.5,0.9
pres3,pres2,MSC05,MSC01,0.5,0.75
pres1,pres2,MSC05,MSC02,0.525,0.6
pres1,pres3,MSC05,MSC02,0.5,0.9
pres2,pres1,MSC05,MSC02,0.525,0.6
pres2,pres3,MSC05,MSC02,0.48,0.75
pres3,pres1,MSC05,MSC02,0.5,0.9
pres3,pres2,MSC05,MSC02,0.48,0.75
pres1,pres2,MSC05,MSC03,0.4625,0.6
pres1,pres3,MSC05,MSC03,0.5,0.9
pres2,pres1,MSC05,MSC03,0.4625,0.6
pres2,pres3,MSC05,MSC03,0.5,0.75
pres3,pres1,MSC05,MSC03,0.5,0.9
pres3,pres2,MSC05,MSC03,0.5,0.75
pres1,pres2,MSC05,MSC04,0.535,0.6
pres1,pres3,MSC05,MSC04,0.5,0.9
pres2,pres1,MSC05,MSC04,0.535,0.6
