subs,Analysis,acc
INET019,SS,0.9583333333333334
INET068,SS,1.0
INET044,SS,0.9791666666666666
INET063,SS,0.9564393939393939
INET050,SS,1.0
INET057,SS,1.0
INET051,SS,1.0
INET018,SS,0.9772727272727273
INET062,SS,0.9772727272727273
INET045,SS,1.0
INET065,SS,1.0
INET041,SS,1.0
INET067,SS,1.0
INET047,SS,0.9545454545454546
INET060,SS,1.0
INET058,SS,0.9772727272727273
INET016,SS,1.0
INET005,SS,1.0
INET034,SS,0.9272727272727272
INET006,SS,0.9564393939393939
INET040,SS,0.9772727272727273
INET003,SS,1.0
INET019,OS,0.7591145833333334
INET068,OS,0.8585069444444444
INET044,OS,0.9140625
INET063,OS,0.8658854166666667
INET050,OS,0.8728448275862069
INET057,OS,0.8216145833333334
INET051,OS,0.9293664383561644
INET018,OS,0.9045138888888888
INET062,OS,0.7821180555555556
INET045,OS,0.8736979166666666
INET065,OS,0.5633680555555556
INET041,OS,0.8216145833333333
INET067,OS,0.8598090277777778
INET047,OS,0.7834201388888888
INET060,OS,0.8125
INET058,OS,0.927951388888889
INET016,OS,0.958767361111111
INET005,OS,0.8372395833333334
INET034,OS,0.8758680555555556
INET006,OS,0.5381944444444444
INET040,OS,0.6766493055555556
INET003,OS,0.9045138888888888
