train_sub,test_sub,same_sub,SS_tpv,SS_rpv,diff_sub,OS_tpv,OS_rpv
MSC01,MSC02,1.0,1.0,1.0,0.835,0.7554507121104447,1.0
MSC01,MSC03,1.0,1.0,1.0,0.7846153846153846,0.7134155832440534,0.9241337203061342
MSC01,MSC04,1.0,1.0,1.0,0.84125,0.7729510881275587,0.9618710569527267
MSC01,MSC05,1.0,1.0,1.0,0.88375,0.81749340347759,0.9975
MSC01,MSC06,1.0,1.0,1.0,0.9025641025641026,0.9879623440285205,0.8500620007957269
MSC01,MSC07,1.0,1.0,1.0,0.5962025316455696,0.5534314292329687,1.0
MSC01,MSC10,1.0,1.0,1.0,0.66875,0.6118436940489542,0.9438251291192468
MSC02,MSC01,0.9875,0.98,1.0,0.91625,0.9650304066925134,0.8798729505664299
MSC02,MSC03,0.9875,0.98,1.0,0.8448717948717949,0.7698555717501375,0.9771044381854269
MSC02,MSC04,0.9875,0.98,1.0,0.93,0.8898008322426927,0.9809981033665244
MSC02,MSC05,0.9875,0.98,1.0,0.955,0.9340786971898712,0.9794093080935187
MSC02,MSC06,0.9875,0.98,1.0,0.9217948717948717,0.9055065172311643,0.9468189278715594
MSC02,MSC07,0.9875,0.98,1.0,0.7468354430379747,0.6677786967905449,1.0
MSC02,MSC10,0.9875,0.98,1.0,0.80625,0.8131648786261305,0.8115234207574339
MSC03,MSC01,0.96875,0.9583333333333334,1.0,0.871875,0.9315298894804379,0.8297837081163397
MSC03,MSC02,0.96875,0.9583333333333334,1.0,0.690625,0.6245810215743673,0.9956896551724138
MSC03,MSC04,0.96875,0.9583333333333334,1.0,0.825,0.7971909637448245,0.8624213822743234
MSC03,MSC05,0.96875,0.9583333333333334,1.0,0.840625,0.7624803509920715,1.0
MSC03,MSC06,0.96875,0.9583333333333334,1.0,0.8221153846153846,0.8416674560262287,0.8111998851040055
MSC03,MSC07,0.96875,0.9583333333333334,1.0,0.7943037974683544,0.8342963556790893,0.7850733368455625
MSC03,MSC10,0.96875,0.9583333333333334,1.0,0.8625,0.881977825398878,0.8499018423437028
MSC04,MSC01,1.0,1.0,1.0,0.90875,0.9198557662463386,0.9009348803251243
MSC04,MSC02,1.0,1.0,1.0,0.86,0.8092281447556502,0.9475064793218951
MSC04,MSC03,1.0,1.0,1.0,0.8576923076923076,0.7772134776541177,0.9970588235294118
MSC04,MSC05,1.0,1.0,1.0,0.9525,0.9575670562327664,0.9504034258679516
MSC04,MSC06,1.0,1.0,1.0,0.9320512820512821,0.8848672688386184,0.9917417417417418
MSC04,MSC07,1.0,1.0,1.0,0.7734177215189874,0.6985498488837073,0.9379233765290736
MSC04,MSC10,1.0,1.0,1.0,0.82375,0.7547897358193913,0.9494571132787206
MSC05,MSC01,0.9875,0.98,1.0,0.8049999999999999,0.7511960623224462,0.8969454338405951
MSC05,MSC02,0.9875,0.98,1.0,0.7025,0.6378788786800493,0.8938318292437285
MSC05,MSC03,0.9875,0.98,1.0,0.8884615384615384,0.8460009207604515,0.9415175144586909
MSC05,MSC04,0.9875,0.98,1.0,0.825,0.8847495409647113,0.7821353684859698
MSC05,MSC06,0.9875,0.98,1.0,0.8551282051282051,0.8332247581955019,0.8795058288479342
MSC05,MSC07,0.9875,0.98,1.0,0.7139240506329114,0.6780611434441713,0.7723707609594707
MSC05,MSC10,0.9875,0.98,1.0,0.80875,0.7660040361231226,0.8697142014053778
MSC06,MSC01,0.9861111111111112,0.9777777777777777,1.0,0.9347222222222222,0.9422149531798655,0.9302963616272768
MSC06,MSC02,0.9861111111111112,0.9777777777777777,1.0,0.8055555555555556,0.9816758287522905,0.7246676370154821
MSC06,MSC03,0.9861111111111112,0.9777777777777777,1.0,0.8575498575498576,0.8675540712692416,0.8500168945149092
MSC06,MSC04,0.9861111111111112,0.9777777777777777,1.0,0.9583333333333334,0.9275143461189973,0.9941520467836258
MSC06,MSC05,0.9861111111111112,0.9777777777777777,1.0,0.8930555555555556,0.9736220066390845,0.8372731927594761
MSC06,MSC07,0.9861111111111112,0.9777777777777777,1.0,0.7271448663853727,0.6487808763391926,0.9856741326306544
MSC06,MSC10,0.9861111111111112,0.9777777777777777,1.0,0.775,0.7074966026378038,0.9135673663643012
MSC07,MSC01,0.9861111111111112,0.9777777777777777,1.0,0.9597222222222223,0.928138901007118,0.9970760233918129
MSC07,MSC02,0.9861111111111112,0.9777777777777777,1.0,0.8,0.9612372769844034,0.7234800866187447
MSC07,MSC03,0.9861111111111112,0.9777777777777777,1.0,0.7692307692307693,0.8128633118669778,0.7422415170708198
MSC07,MSC04,0.9861111111111112,0.9777777777777777,1.0,0.8625,0.9496655758304504,0.8070868370532766
MSC07,MSC05,0.9861111111111112,0.9777777777777777,1.0,0.8583333333333334,0.9904761904761905,0.7901759562964354
MSC07,MSC06,0.9861111111111112,0.9777777777777777,1.0,0.6766381766381766,1.0,0.6151434359333726
MSC07,MSC10,0.9861111111111112,0.9777777777777777,1.0,0.7930555555555556,0.8656379127983623,0.7488660820640586
MSC10,MSC01,0.9625,0.96,0.98,0.8575,0.8345330082185491,0.8879726783637845
MSC10,MSC02,0.9625,0.96,0.98,0.855,0.9114154053434239,0.8244827876770292
MSC10,MSC03,0.9625,0.96,0.98,0.8487179487179487,0.7966345824998838,0.9299872620840363
MSC10,MSC04,0.9625,0.96,0.98,0.885,0.8472198853801635,0.9351202372525902
MSC10,MSC05,0.9625,0.96,0.98,0.92625,0.8980181072837132,0.9745505067015364
MSC10,MSC06,0.9625,0.96,0.98,0.8756410256410256,0.9936105476673428,0.8108801038997646
MSC10,MSC07,0.9625,0.96,0.98,0.7316455696202532,0.827849400494613,0.6861668713269828
