train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC01,MSC02,glass,0.55,0.9,1.0,0.5263157894736842,,0.9
MSC01,MSC02,semantic,0.89,0.95,1.0,0.8205128205128206,,0.95
MSC01,MSC02,motor,0.89,1.0,0.8959415584415584,0.8942307692307693,1.0,1.0
MSC01,MSC02,mem,0.91,1.0,1.0,0.8484848484848485,1.0,1.0
MSC01,MSC03,glass,0.5,0.9,,0.5,,0.9
MSC01,MSC03,semantic,0.725,0.95,1.0,0.6502307333189686,,0.95
MSC01,MSC03,motor,0.905,1.0,1.0,0.8409090909090909,1.0,1.0
MSC01,MSC03,mem,0.9888888888888889,1.0,1.0,0.9818181818181818,1.0,1.0
MSC01,MSC04,glass,0.595,0.9,,0.5568498452012384,,0.9
MSC01,MSC04,semantic,0.655,0.95,1.0,0.5919117647058824,,0.95
MSC01,MSC04,motor,0.99,1.0,1.0,0.9818181818181818,1.0,1.0
MSC01,MSC04,mem,0.85,1.0,1.0,0.7692307692307693,1.0,1.0
MSC01,MSC05,glass,0.545,0.9,,0.5236842105263158,,0.9
MSC01,MSC05,semantic,0.585,0.95,1.0,0.5467836257309941,,0.95
MSC01,MSC05,motor,0.87,1.0,1.0,0.7986013986013987,1.0,1.0
MSC01,MSC05,mem,0.885,1.0,1.0,0.8164335664335665,1.0,1.0
MSC01,MSC06,glass,0.5263157894736842,0.9,,0.5263157894736842,,0.9
MSC01,MSC06,semantic,0.55,0.95,1.0,0.5263157894736842,,0.95
MSC01,MSC06,motor,0.7421052631578947,1.0,1.0,0.6738418444300797,1.0,1.0
MSC01,MSC06,mem,0.6849999999999999,1.0,1.0,0.6144607843137255,1.0,1.0
MSC01,MSC07,glass,0.935,0.9,1.0,0.8941558441558441,,0.9
MSC01,MSC07,semantic,1.0,0.95,1.0,1.0,,0.95
MSC01,MSC07,motor,0.9842105263157894,1.0,0.97,1.0,1.0,1.0
MSC01,MSC07,mem,0.995,1.0,0.990909090909091,1.0,1.0,1.0
MSC01,MSC10,glass,0.545,0.9,,0.5236842105263158,,0.9
MSC01,MSC10,semantic,0.5700000000000001,0.95,,0.5383040935672515,,0.95
MSC01,MSC10,motor,0.985,1.0,1.0,0.9742424242424242,1.0,1.0
MSC01,MSC10,mem,0.95,1.0,1.0,0.9090909090909091,1.0,1.0
MSC02,MSC01,glass,0.69,0.9,1.0,0.6206115779645192,,0.9
